"id","h_year","age","year_birth","height"
2052,1797,17,1780,60.00
8215,1794,20,1774,62.00
5202,1792,21,1771,63.00
6449,1792,29,1763,64.00
2059,1797,36,1761,64.00
3262,1798,62,1736,60.00
5900,1792,43,1749,60.00
8594,1794,49,1745,60.00
1007,1795,68,1727,54.00
2028,1796,36,1760,54.00
6541,1792,30,1762,62.00
2038,1797,37,1760,64.00
7294,1793,28,1765,60.00
5727,1792,21,1771,63.00
6880,1793,30,1763,63.00
4731,1791,25,1766,60.00
6049,1792,16,1776,60.00
3254,1798,33,1765,68.00
6445,1792,24,1768,64.00
6163,1792,24,1768,66.00
1046,1795,23,1772,60.00
4587,1800,50,1750,62.00
8636,1794,25,1769,56.00
8290,1794,54,1740,64.00
3248,1798,27,1771,63.00
5987,1792,24,1768,61.00
4767,1791,27,1764,64.00
5638,1792,18,1774,62.00
2069,1797,27,1770,66.00
25,1794,25,1769,62.00
6727,1792,25,1767,64.00
7531,1793,26,1767,63.00
8179,1794,26,1768,63.00
5531,1792,65,1727,64.00
5897,1792,22,1770,64.00
8555,1794,22,1772,60.00
4590,1800,20,1780,68.00
2068,1797,38,1759,67.00
8332,1794,22,1772,62.00
5377,1792,35,1757,65.00
5521,1792,36,1756,64.00
7280,1793,37,1756,62.00
7960,1793,25,1768,60.00
7263,1793,23,1770,68.00
4588,1800,27,1773,68.00
2062,1797,28,1769,60.00
5951,1792,30,1762,64.00
4580,1800,35,1765,66.00
8669,1794,20,1774,54.00
8127,1793,33,1760,50.00
7264,1793,18,1775,62.00
4597,1800,18,1782,61.00
6123,1792,38,1754,64.00
2016,1796,38,1758,57.00
5826,1792,22,1770,62.00
2019,1796,26,1770,54.00
5310,1792,36,1756,64.00
2053,1797,23,1774,66.00
8240,1794,21,1773,57.00
8759,1794,43,1751,85.00
3252,1798,20,1778,58.00
186,1794,30,1764,62.00
4592,1800,40,1760,63.00
3206,1797,41,1756,61.00
7272,1793,36,1757,61.00
8371,1794,39,1755,58.00
3218,1798,46,1752,64.00
3201,1797,19,1778,51.00
5155,1792,24,1768,64.00
7930,1793,48,1745,62.00
6724,1792,21,1771,66.00
3223,1798,19,1779,61.00
2039,1797,36,1761,66.00
4926,1791,15,1776,63.00
14,1794,36,1758,61.00
5669,1792,20,1772,65.00
3239,1798,42,1756,66.00
6933,1793,32,1761,55.00
5033,1791,24,1767,59.00
4591,1800,23,1777,62.00
8587,1794,36,1758,65.00
2026,1796,28,1768,39.00
3220,1798,30,1768,66.00
5760,1792,48,1744,60.00
5742,1792,37,1755,60.00
8175,1794,20,1774,63.00
134,1794,22,1772,54.00
6888,1793,30,1763,65.00
2083,1797,34,1763,60.00
5924,1792,47,1745,61.00
8549,1794,60,1734,62.00
6491,1792,26,1766,63.00
6816,1793,21,1772,62.00
2086,1797,50,1747,65.00
3273,1798,38,1760,60.00
2072,1795,21,1774,59.00
7321,1793,26,1767,60.00
2096,1797,30,1767,66.00
3282,1797,30,1767,66.00
7115,1793,26,1767,40.00
7326,1793,28,1765,64.00
8123,1793,38,1755,60.00
7924,1793,38,1755,63.00
7770,1793,33,1760,64.00
2093,1797,27,1770,62.00
8469,1794,36,1758,63.00
6683,1792,21,1771,64.00
2094,1797,27,1770,58.00
128,1794,37,1757,71.00
6650,1792,20,1772,65.00
7126,1793,18,1775,36.00
6085,1792,36,1756,64.00
8116,1793,26,1767,62.00
2127,1797,15,1782,54.00
3351,1798,22,1776,65.00
8163,1794,25,1769,52.00
2150,1797,24,1773,66.00
8191,1794,28,1766,62.00
4785,1791,25,1766,60.00
169,1794,28,1766,56.00
7349,1793,22,1771,63.00
6924,1793,26,1767,62.00
406,1794,45,1749,52.00
7884,1793,47,1746,60.00
5030,1791,30,1761,59.00
3342,1798,20,1778,60.00
7118,1793,33,1760,64.00
3362,1798,34,1764,64.00
5356,1792,18,1774,63.00
3355,1798,19,1779,62.00
7369,1793,19,1774,58.00
2155,1797,44,1753,64.50
5486,1792,24,1768,62.00
5275,1792,30,1762,63.00
4610,1791,24,1767,57.00
6978,1793,24,1769,66.00
5710,1792,39,1753,63.00
3326,1797,23,1774,66.00
537,1794,40,1754,59.00
6086,1792,40,1752,65.00
3294,1796,40,1756,62.00
2103,1796,40,1756,62.00
1041,1795,28,1767,60.00
3344,1798,21,1777,64.00
2154,1797,20,1777,60.00
997,1795,22,1773,64.00
2159,1797,17,1780,66.00
2124,1797,26,1771,54.00
8571,1794,40,1754,63.00
2123,1797,42,1755,71.00
8031,1793,33,1760,64.00
3367,1798,14,1784,51.00
4739,1791,35,1756,66.00
6244,1792,40,1752,60.00
8662,1794,26,1768,61.00
179,1794,27,1767,64.00
6696,1792,25,1767,65.00
4755,1791,43,1748,60.00
3350,1798,33,1765,67.00
6001,1792,21,1771,60.00
385,1794,50,1744,54.00
2122,1797,36,1761,63.00
8698,1794,50,1744,54.00
4806,1791,27,1764,63.00
3331,1798,26,1772,64.00
8830,1794,21,1773,64.00
3338,1798,27,1771,60.00
3376,1798,25,1773,53.00
160,1794,19,1775,55.00
3328,1797,29,1768,65.00
2114,1796,37,1759,60.00
314,1794,48,1746,58.00
2107,1794,48,1746,58.00
2115,1796,18,1778,60.00
6796,1793,37,1756,62.00
433,1794,34,1760,66.00
24,1794,34,1760,66.00
167,1794,51,1743,56.00
