"id","h_year","age","year_birth","height"
70579,1905,42,1863,56.50
71306,1905,55,1850,56.50
73391,1906,57,1849,56.50
73962,1906,25,1881,56.50
75880,1906,22,1884,56.50
76271,1906,42,1864,56.50
76917,1906,63,1843,56.50
77969,1907,56,1851,56.50
78109,1907,55,1852,56.50
78330,1907,65,1842,56.50
81094,1907,22,1885,56.50
82933,1908,61,1847,56.50
84230,1908,67,1841,56.50
86901,1908,21,1887,56.50
88730,1909,60,1849,56.50
89424,1909,68,1841,56.50
90938,1909,65,1844,56.50
91734,1909,28,1881,56.50
92216,1909,36,1873,56.50
96385,1910,54,1856,56.50
98078,1911,22,1889,56.50
99150,1911,44,1867,56.50
102166,1911,22,1889,56.50
105068,1912,57,1855,56.50
106174,1912,24,1888,56.50
107668,1912,32,1880,56.50
110816,1913,58,1855,56.50
110845,1913,61,1852,56.50
111194,1913,73,1840,56.50
112064,1913,60,1853,56.50
113217,1914,31,1883,56.50
114852,1914,29,1885,56.50
115604,1914,59,1855,56.50
117091,1915,28,1887,56.50
118257,1915,46,1869,56.50
119918,1916,39,1877,56.50
120542,1916,61,1855,56.50
121532,1916,46,1870,56.50
121747,1917,57,1860,56.50
122200,1917,42,1875,56.50
122404,1917,30,1887,56.50
126901,1920,66,1854,56.50
127438,1921,46,1875,56.50
128714,1921,67,1854,56.50
1170,1881,24,1857,56.75
5642,1882,18,1864,56.75
5912,1882,18,1864,56.75
5921,1882,36,1846,56.75
16425,1890,31,1859,56.75
25553,1893,46,1847,56.75
33940,1895,47,1848,56.75
36097,1896,39,1857,56.75
37348,1896,32,1864,56.75
39332,1897,54,1843,56.75
40269,1897,23,1874,56.75
41585,1897,44,1853,56.75
44788,1898,42,1856,56.75
46152,1899,50,1849,56.75
48396,1899,64,1835,56.75
51169,1900,23,1877,56.75
54575,1901,47,1854,56.75
54577,1901,26,1875,56.75
56676,1901,25,1876,56.75
59638,1902,43,1859,56.75
60813,1903,44,1859,56.75
63369,1903,35,1868,56.75
64553,1904,22,1882,56.75
68194,1904,27,1877,56.75
70491,1905,26,1879,56.75
72128,1905,62,1843,56.75
76414,1906,29,1877,56.75
81817,1907,25,1882,56.75
82677,1908,22,1886,56.75
83322,1908,46,1862,56.75
85082,1908,59,1849,56.75
85698,1908,49,1859,56.75
97892,1911,58,1853,56.75
101131,1911,47,1864,56.75
111198,1913,25,1888,56.75
114391,1914,34,1880,56.75
120797,1916,29,1887,56.75
187,1881,57,1824,57.00
230,1881,35,1846,57.00
359,1881,25,1856,57.00
437,1881,23,1858,57.00
525,1881,18,1863,57.00
951,1881,43,1838,57.00
1823,1881,41,1840 ,57.00
2203,1881,38,1843,57.00
2242,1881,18,1863,57.00
2518,1881,23,1858,57.00
2900,1881,19,1862,57.00
3257,1881,30,1851,57.00
3506,1881,20,1861,57.00
4623,1882,27,1855,57.00
4739,1882,54,1828,57.00
5142,1882,30,1852,57.00
5371,1882,30,1852,57.00
5509,1882,20,1862,57.00
5542,1882,36,1846,57.00
5836,1882,44,1838,57.00
5986,1882,30,1852,57.00
6029,1882,17,1865,57.00
6486,1882,45,1837,57.00
6903,1882,47,1835,57.00
7573,1882,19,1863,57.00
7588,1882,25,1857,57.00
8057,1882,42,1840,57.00
8290,1882,18,1864,57.00
8324,1882,34,1848,57.00
8363,1882,24,1858,57.00
8439,1882,24,1858,57.00
8699,1889,49,1840,57.00
9415,1889,24,1865,57.00
9736,1889,23,1866,57.00
9837,1889,50,1839,57.00
9916,1889,54,1835,57.00
10163,1889,28,1861,57.00
10356,1889,41,1848,57.00
10676,1889,29,1860,57.00
11957,1889,19,1870,57.00
12285,1889,38,1851,57.00
12681,1890,34,1856,57.00
13453,1890,31,1859,57.00
14264,1890,40,1850,57.00
14393,1890,49,1841,57.00
14715,1890,50,1840,57.00
14854,1890,44,1846,57.00
14880,1890,31,1859,57.00
15211,1890,30,1860,57.00
15732,1890,25,1865,57.00
15821,1890,29,1861,57.00
16037,1890,2,1888,57.00
16112,1890,65,1825,57.00
16491,1890,26,1864,57.00
17045,1891,68,1823,57.00
17731,1891,36,1855,57.00
18092,1891,24,1867,57.00
18483,1891,43,1848,57.00
18584,1891,41,1850 ,57.00
18703,1891,21,1870,57.00
18864,1891,64,1827,57.00
19185,1891,38,1853,57.00
19338,1891,16,1875,57.00
19666,1892,57,1835,57.00
19704,1892,30,1862,57.00
19938,1892,51,1841,57.00
20023,1892,49,1843,57.00
20208,1892,51,1841,57.00
