"id","h_year","age","year_birth","height"
7478,1827,27,1800,62.5
7479,1828,38,1790,62.5
7480,1828,48,1780,59.75
7481,1828,20,1808,59.5
7482,1828,17,1811,60.5
7483,1827,23,1804,57.75
7484,1828,22,1806,61
7485,1828,26,1802,55
7487,1827,25,1802,61
7488,1828,35,1793,62
7489,1828,31,1797,63.75
7490,1828,19,1809,58
7491,1828,26,1802,60.5
7492,1828,30,1798,61
7493,1828,37,1791,63.5
7494,1828,32,1796,57.5
7495,1828,32,1796,62.25
7496,1828,49,1779,61.5
7497,1828,20,1808,61.5
7498,1828,24,1804,63.75
7499,1828,19,1809,62
7500,1828,30,1798,62.25
7501,1827,20,1807,60.5
7502,1828,20,1808,60.25
7503,1828,18,1810,61.5
7504,1828,13,1815,60.25
7505,1828,47,1781,60.75
7506,1827,23,1804,61
7507,1827,16,1811,58.5
7508,1828,19,1809,58
7509,1828,24,1804,64.75
7510,1828,35,1793,59.25
7511,1828,24,1804,61.5
7512,1828,20,1808,62.75
7513,1828,27,1801,61.5
7514,1828,49,1779,61.25
7515,1828,30,1798,59.5
7516,1827,17,1810,57
7517,1828,22,1806,60.5
7518,1828,40,1788,58.5
7519,1828,20,1808,67.25
7520,1828,22,1806,64.25
7521,1827,29,1798,57.25
7522,1828,17,1811,55.75
7523,1827,32,1795,63.25
7524,1828,34,1794,59.75
7525,1827,48,1779,60.75
7526,1828,17,1811,59.75
7527,1828,30,1798,61
7528,1828,21,1807,61
7529,1828,19,1809,59.75
7530,1828,30,1798,64.25
7531,1828,17,1811,64.75
7532,1826,32,1794,61.25
7533,1828,50,1778,61.5
7534,1828,21,1807,59.75
7535,1827,49,1778,61.5
7536,1828,39,1789,59
7537,1828,21,1807,60.25
7538,1827,49,1778,61.25
7539,1828,33,1795,64.5
7540,1828,22,1806,60.25
7541,1828,35,1793,57
7542,1828,21,1807,61.5
7543,1827,21,1806,62
7544,1827,19,1808,61.5
